HumanSays:,RobotSays:
HumanSays:,RobotSays:
What time is it?,getTIME
What time do you have?,getTIME
Got the time?,getTIME
When is it?,getTIME
What day is it?,getDATE
What is the date?,getDATE
Do you know what time it is?,getTIME
Do you have the time,getTIME
IDKnull,I don't know.
IDKnull,I'll need to take some time to think on that.
IDKnull,Can you try rephrasing that please?
IDKnull,I'm not sure about that.
IDKnull,Is there a different way you can ask that?
IDKnull,I don't have a response for that.
IDKnull,I will have to give that some thought.
IDKnull,I don't really know what you are asking.
IDKnull,There are some things I just don't know about yet.
IDKnull,I'm not an expert on that.
IDKnull,I could not tell you.
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
Who are you?,I am a ChatBot.
Who are you?,I am a Python powered ChatBot.
Who are you?,I am a ChatBot running on Python and a dash of artificial intelligence.
Hello,Hello World!
Hi,Hello World!
Greetings,Hello World!
Hey,Hello World!
What's up?,Hello World!
Who are you?,I am a Chatbot.
What is your name?,ChatBot.
